FAQID,Question,Answer,Chat Scripts,Email Scripts,Voice Scripts,Gurucool Link,PCIR,Freshdesk Properties,TAT
2002670,Laptop,do you mean 2002670: Description: GL Account details for Laptop. Refer SAP master data for valuation class and account determination.: Here is the code: 20-70,do you mean 2002670: Description: do you mean 2002670: Description: GL Account details for Laptop. Refer SAP master data for valuation class and account determination.: Here is the code: 20-70,,,,,,
2002671,AMC,do you mean 2002671: Description: GL Account details for AMC. Refer SAP master data for valuation class and account determination.: Here is the code: 20-71,do you mean 2002671: Description: do you mean 2002671: Description: GL Account details for AMC. Refer SAP master data for valuation class and account determination.: Here is the code: 20-71,,,,,,
2002672,Pen,do you mean 2002672: Description: GL Account details for Pen. Refer SAP master data for valuation class and account determination.: Here is the code: 20-72,do you mean 2002672: Description: do you mean 2002672: Description: GL Account details for Pen. Refer SAP master data for valuation class and account determination.: Here is the code: 20-72,,,,,,
2002673,Pencil,do you mean 2002673: Description: GL Account details for Pencil. Refer SAP master data for valuation class and account determination.: Here is the code: 20-73,do you mean 2002673: Description: do you mean 2002673: Description: GL Account details for Pencil. Refer SAP master data for valuation class and account determination.: Here is the code: 20-73,,,,,,
2002674,Headset,do you mean 2002674: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-74,do you mean 2002674: Description: do you mean 2002674: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-74,,,,,,
2002675,Adapter,do you mean 2002675: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-75,do you mean 2002675: Description: do you mean 2002675: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-75,,,,,,
2002676,Cable,do you mean 2002676: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-76,do you mean 2002676: Description: do you mean 2002676: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-76,,,,,,
2002677,Server,do you mean 2002677: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-77,do you mean 2002677: Description: do you mean 2002677: Description: GL Account details for Server. Refer SAP master data for valuation class and account determination.: Here is the code: 20-77,,,,,,
2002678,Notebook,do you mean 2002678: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-78,do you mean 2002678: Description: do you mean 2002678: Description: GL Account details for Notebook. Refer SAP master data for valuation class and account determination.: Here is the code: 20-78,,,,,,
2002679,Router,do you mean 2002679: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-79,do you mean 2002679: Description: do you mean 2002679: Description: GL Account details for Router. Refer SAP master data for valuation class and account determination.: Here is the code: 20-79,,,,,,
2002680,Mouse,do you mean 2002680: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-80,do you mean 2002680: Description: do you mean 2002680: Description: GL Account details for Mouse. Refer SAP master data for valuation class and account determination.: Here is the code: 20-80,,,,,,
2002681,Adapter,do you mean 2002681: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-81,do you mean 2002681: Description: do you mean 2002681: Description: GL Account details for Adapter. Refer SAP master data for valuation class and account determination.: Here is the code: 20-81,,,,,,
2002682,Cable,do you mean 2002682: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-82,do you mean 2002682: Description: do you mean 2002682: Description: GL Account details for Cable. Refer SAP master data for valuation class and account determination.: Here is the code: 20-82,,,,,,
2002683,Headset,do you mean 2002683: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-83,do you mean 2002683: Description: do you mean 2002683: Description: GL Account details for Headset. Refer SAP master data for valuation class and account determination.: Here is the code: 20-83,,,,,,
